statenum,casenum,vnumber,pnumber,atmcond,accday,acchr,accmin,accmon,arf1,caseyear,dayofweek,latitude,longitude,manncol,speeding,travspd,dridistract,drivisobs,surfcond
,,,,,,,,,,,,,,,,,,,
48,1,1,1,10,2,7,45,2,0,2017,5,33.86404167,-95.50714444,0,1,998,0,0,1
48,2,1,1,2,1,7,15,1,0,2017,1,32.69296111,-96.84579444,0,1,998,0,0,2
48,3,1,1,1,1,20,10,1,0,2017,1,31.27211667,-97.26570833,0,0,998,6,0,1
48,4,1,1,1,1,5,42,1,0,2017,1,29.88959444,-95.41813889,0,1,998,0,0,1
48,5,1,1,1,1,22,30,1,0,2017,1,32.19395278,-95.56754444,0,0,998,0,0,1
48,5,1,2,1,1,22,30,1,0,2017,1,32.19395278,-95.56754444,0,0,998,0,0,1
48,6,1,1,1,1,0,58,1,0,2017,1,32.474725,-97.150275,0,0,998,0,0,1
48,7,1,1,1,1,12,45,1,0,2017,1,27.25771111,-97.90764722,2,0,998,15,0,1
48,7,2,1,1,1,12,45,1,0,2017,1,27.25771111,-97.90764722,2,0,998,0,0,1
48,7,2,2,1,1,12,45,1,0,2017,1,27.25771111,-97.90764722,2,0,998,0,0,1
48,7,2,3,1,1,12,45,1,0,2017,1,27.25771111,-97.90764722,2,0,998,0,0,1
48,7,2,4,1,1,12,45,1,0,2017,1,27.25771111,-97.90764722,2,0,998,0,0,1
48,7,2,5,1,1,12,45,1,0,2017,1,27.25771111,-97.90764722,2,0,998,0,0,1
48,7,2,6,1,1,12,45,1,0,2017,1,27.25771111,-97.90764722,2,0,998,0,0,1
48,7,2,7,1,1,12,45,1,0,2017,1,27.25771111,-97.90764722,2,0,998,0,0,1
48,8,1,1,5,1,11,45,1,0,2017,1,32.84268889,-94.62889722,0,1,998,0,0,1
48,9,1,1,1,1,8,47,1,0,2017,1,32.4417,-100.9485167,0,0,998,0,0,1
48,9,1,2,1,1,8,47,1,0,2017,1,32.4417,-100.9485167,0,0,998,0,0,1
48,10,1,1,1,1,9,6,1,0,2017,1,31.01470556,-96.70477222,0,0,998,0,0,1
48,11,1,1,10,1,6,41,1,0,2017,1,26.395775,-98.76816111,0,1,998,0,0,2
48,12,1,1,1,2,12,45,1,0,2017,2,30.158675,-97.46427222,0,0,998,0,0,1
48,12,2,1,1,2,12,45,1,0,2017,2,30.158675,-97.46427222,0,0,998,0,0,1
48,12,2,2,1,2,12,45,1,0,2017,2,30.158675,-97.46427222,0,0,998,0,0,1
48,12,2,3,1,2,12,45,1,0,2017,2,30.158675,-97.46427222,0,0,998,0,0,1
48,13,1,1,1,2,18,50,1,0,2017,2,29.41971944,-98.52908333,0,0,998,0,0,1
48,14,1,1,1,2,19,0,1,0,2017,2,29.98380278,-97.76161667,2,0,998,0,0,1
48,14,1,2,1,2,19,0,1,0,2017,2,29.98380278,-97.76161667,2,0,998,0,0,1
48,14,1,3,1,2,19,0,1,0,2017,2,29.98380278,-97.76161667,2,0,998,0,0,1
48,14,2,1,1,2,19,0,1,0,2017,2,29.98380278,-97.76161667,2,0,998,0,0,1
48,14,2,2,1,2,19,0,1,0,2017,2,29.98380278,-97.76161667,2,0,998,0,0,1
48,14,2,3,1,2,19,0,1,0,2017,2,29.98380278,-97.76161667,2,0,998,0,0,1
48,15,1,1,1,2,15,4,1,14,2017,2,32.67958056,-96.76578333,7,1,998,0,0,1
48,15,1,2,1,2,15,4,1,14,2017,2,32.67958056,-96.76578333,7,1,998,0,0,1
48,15,1,3,1,2,15,4,1,14,2017,2,32.67958056,-96.76578333,7,1,998,0,0,1
48,15,2,1,1,2,15,4,1,14,2017,2,32.67958056,-96.76578333,7,1,998,0,0,1
48,16,1,1,1,2,18,13,1,0,2017,2,32.65491389,-96.88568889,6,0,998,0,0,1
48,16,1,2,1,2,18,13,1,0,2017,2,32.65491389,-96.88568889,6,0,998,0,0,1
48,16,1,3,1,2,18,13,1,0,2017,2,32.65491389,-96.88568889,6,0,998,0,0,1
48,16,1,4,1,2,18,13,1,0,2017,2,32.65491389,-96.88568889,6,0,998,0,0,1
48,16,2,1,1,2,18,13,1,0,2017,2,32.65491389,-96.88568889,6,0,998,0,0,1
48,16,2,2,1,2,18,13,1,0,2017,2,32.65491389,-96.88568889,6,0,998,0,0,1
48,16,2,3,1,2,18,13,1,0,2017,2,32.65491389,-96.88568889,6,0,998,0,0,1
